,Dan,Lokacija,Mesec,SifraCesteNaselja,SifraOdsekaUlice,StanjePrometa,StanjeVozisca,UraPN,VNaselju,VremenskeOkoliscine,VrstaCeste,VrstaVozisca
706,,,,6125,1375,,,,,,,
707,,,,6127,1376,,,,,,,
708,,,,6129,1378,,,,,,,
709,,,,6134,1379,,,,,,,
710,,,,6160,1380,,,,,,,
711,,,,6164,1381,,,,,,,
712,,,,6168,1383,,,,,,,
713,,,,6169,1384,,,,,,,
714,,,,7001,1385,,,,,,,
715,,,,7007,1388,,,,,,,
716,,,,7010,1390,,,,,,,
717,,,,7012,1393,,,,,,,
718,,,,7018,1394,,,,,,,
719,,,,7020,1396,,,,,,,
720,,,,7023,1397,,,,,,,
721,,,,8001,1398,,,,,,,
722,,,,8017,1399,,,,,,,
723,,,,8027,1400,,,,,,,
724,,,,8028,1404,,,,,,,
725,,,,8031,1405,,,,,,,
726,,,,8033,1406,,,,,,,
727,,,,8048,1407,,,,,,,
728,,,,8052,1408,,,,,,,
729,,,,8057,1411,,,,,,,
730,,,,8093,1412,,,,,,,
731,,,,8096,1413,,,,,,,
732,,,,9001,1417,,,,,,,
733,,,,9002,1418,,,,,,,
734,,,,9010,1419,,,,,,,
735,,,,9011,1422,,,,,,,
736,,,,9014,1423,,,,,,,
737,,,,9015,1426,,,,,,,
738,,,,9019,1427,,,,,,,
739,,,,9022,1428,,,,,,,
740,,,,9024,1429,,,,,,,
741,,,,9028,1430,,,,,,,
742,,,,9029,1431,,,,,,,
743,,,,9033,1432,,,,,,,
744,,,,9034,1433,,,,,,,
745,,,,9044,1436,,,,,,,
746,,,,9048,1437,,,,,,,
747,,,,9071,1438,,,,,,,
748,,,,9074,1439,,,,,,,
749,,,,9076,1441,,,,,,,
750,,,,9088,1444,,,,,,,
751,,,,9092,1445,,,,,,,
752,,,,9097,1447,,,,,,,
753,,,,9098,1448,,,,,,,
754,,,,9099,1453,,,,,,,
755,,,,9107,1454,,,,,,,
756,,,,9113,1455,,,,,,,
757,,,,9116,1457,,,,,,,
758,,,,9118,1458,,,,,,,
759,,,,9119,1466,,,,,,,
760,,,,9121,1470,,,,,,,
761,,,,9125,1471,,,,,,,
762,,,,9135,1473,,,,,,,
763,,,,9137,1475,,,,,,,
764,,,,9145,1476,,,,,,,
765,,,,9146,1479,,,,,,,
766,,,,9151,1481,,,,,,,
767,,,,9156,1486,,,,,,,
768,,,,9157,1488,,,,,,,
769,,,,9161,1490,,,,,,,
770,,,,9167,1495,,,,,,,
771,,,,9169,1503,,,,,,,
